"cluster","mean","scale","shape","logCompLik"
162,-0.440732832583606,12.7111693285334,7.28137137675455,176250.815601305
43,-0.230762469767847,56.352492532534,13.3302273510199,145090.008990298
163,-0.356351651957978,75.4178062340685,6.98839187283622,75455.8037922831
122,-0.302829587835074,49.7504246876925,10.94668651275,152013.305683401
205,-0.278914870712808,42.3916933851337,11.6011253143875,120154.170305153
85,-0.404436423429521,170.176117682995,6.43129423110994,186850.114099782
184,-0.266507282295166,15.571473108124,7.54121374471925,38486.0211352746
44,-0.315576387383435,91.6706038017811,8.72544436349271,214616.801261414
206,-0.439475172119301,53.6219645900369,7.87953697022065,133937.402915016
100,-0.378732764392823,29.0264906262485,10.3828580757314,215930.022221975
244,-0.416274071842849,48.6988691461993,8.48324902549188,253735.741968393
144,-0.297662894110069,112.724925426231,8.47417654413966,100704.135667194
60,-0.354429199608838,15.3789487100711,9.97898707356084,159495.283173948
224,-0.511543549621129,13.3207671973174,7.37692763983096,152613.068068512
185,-0.420751551724471,54.1906041086902,7.03777013124403,243168.075176083
86,-0.516044590266076,91.5508782581224,5.52651101693814,226645.320630417
61,0.5,10,5,-1e+15
245,-0.348004012745029,100.032350884427,10.0636713552944,150855.94670026
62,0.5,10,5,-1e+15
164,-0.304257443865747,68.4509491244563,8.23338467192411,102272.325251737
186,-0.313020119840876,94.7130144492407,10.1376041508669,129545.322417588
63,-0.441187252383665,156.481120988479,6.90569967667745,120091.488351792
225,-0.444201322438453,58.1002398910399,7.75286311327439,194407.22515861
64,0.5,10,5,-1e+15
101,-0.277479035133414,20.9687862031461,13.8083587698389,107210.119949349
165,-0.249294512472005,42.7862246948886,15.0874065685219,157310.54872227
226,-0.313321134302206,73.4018800424309,11.1876125507255,168063.385462922
187,-0.420058839670464,100.367160901312,7.57506496878038,211227.427255978
246,-0.514012375084164,12.9135188113995,7.75197421600784,99405.7965997071
123,-0.460419161872332,16.3546593527055,7.3708163423943,186423.022855138
247,-0.381926469534011,84.6079079531135,7.99217642810957,95093.8867745407
